Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
A100 at Microsoft Project Osmium on 2021-01-01T00:00:00.000Z,Microsoft Project Osmium,2021-01-01,A100,25000.0,Estimate,Estimate,Microsoft #confident,OpenAI #speculative,"[Semianalysis](https://newsletter.semianalysis.com/p/microsofts-ai-strategy-deconstructed) believes ""~25k A100 chips"" are in Building 1, taking 2/5 data halls in the building. ",Epoch AI,2026-05-03T00:19:42.000Z,Epoch AI,2026-05-16 10:34:03+00:00
TPU v4 at Google Papillion on 2023-01-23T00:00:00.000Z,Google Papillion,2023-01-23,TPU v4,194429.0,Estimate,Estimate,Google Cloud #confident,Google #likely,"Building 1 (Q1 FY23 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-18T17:05:24.000Z,Epoch AI,2026-05-18 18:44:20+00:00
TPU v5e at Google Papillion on 2023-01-23T00:00:00.000Z,Google Papillion,2023-01-23,TPU v5e,35553.0,Estimate,Estimate,Google Cloud #confident,Google #likely,"Building 1 (Q1 FY23 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-18T18:44:20.000Z,Epoch AI,2026-05-18 18:44:20+00:00
A100 at Bridge Data Centres Kulai on 2023-03-01T00:00:00.000Z,Bridge Data Centres Kulai,2023-03-01,A100,47033.0,Estimate,Estimate,ByteDance #likely,ByteDance #likely,"Buildings 3+4. A100: 2023 alternatives fail supply (A800 57k, H800 96k world). Method all rows: chips = IT/(TDP x 1.7417) x 110/269.34 proportion; no source places chips at site.",Epoch AI,2026-07-13T07:49:28.000Z,Epoch AI,2026-07-16 19:31:52+00:00
H100 at Microsoft Goodyear on 2023-04-24T00:00:00.000Z,Microsoft Goodyear,2023-04-24,H100,29151.0,Estimate,Estimate,Microsoft #confident,Microsoft #confident,H100 assumed from operational date (Q2 2023). Count = IT capacity / H100 HGX server power × 8 chips per server.,Epoch AI,2026-04-02T19:44:28.000Z,Epoch AI,2026-05-16 10:29:36+00:00
H100 at Microsoft Project Osmium on 2023-06-30T00:00:00.000Z,Microsoft Project Osmium,2023-06-30,H100,32680.0,Estimate,Estimate,Microsoft #confident,OpenAI #speculative,Type estimated based on chip sales data. # of units estimated based on power for Building 2.,Epoch AI,2026-05-04T23:34:07.000Z,Epoch AI,2026-06-18 05:42:54+00:00
TPU v5e at Google Storey County on 2023-08-30T00:00:00.000Z,Google Storey County,2023-08-30,TPU v5e,205463.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 expansion (Q4 FY23 mix: v5e only), assuming it was fully retrofitted with TPUv5e.",Epoch AI,2026-05-01T19:31:24.000Z,Epoch AI,2026-06-18 05:41:51+00:00
A100 at Bridge Data Centres Kulai on 2023-10-01T00:00:00.000Z,Bridge Data Centres Kulai,2023-10-01,A100,121811.0,Estimate,Estimate,ByteDance #likely,ByteDance #likely,Buildings 2+3+4 (+B2).,Epoch AI,2026-07-13T07:49:28.000Z,Epoch AI,2026-07-16 19:31:52+00:00
TPU v5e at Google Lancaster on 2024-01-01T00:00:00.000Z,Google Lancaster,2024-01-01,TPU v5e,157105.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q1 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-05T22:29:33.000Z,Epoch AI,2026-06-05 22:29:33+00:00
TPU v5p at Google Lancaster on 2024-01-01T00:00:00.000Z,Google Lancaster,2024-01-01,TPU v5p,7273.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q1 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-06-05T22:29:34.000Z,Epoch AI,2026-06-05 22:29:34+00:00
H100 at CoreWeave Chester VA on 2024-01-31T00:00:00.000Z,CoreWeave Chester VA,2024-01-31,H100,14800.0,Estimate,Estimate,CoreWeave #confident,,"Partial CTP-01 estimate using 18 MW of IT power. H100 is my best guess for this 2024 capacity, but I did not find a Chester-specific chip disclosure.",Epoch AI,2026-06-09T19:59:04.000Z,Epoch AI,2026-06-09 19:59:04+00:00
TPU v5e at Google Columbus on 2024-04-01T00:00:00.000Z,Google Columbus,2024-04-01,TPU v5e,99419.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:10.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5p at Google Columbus on 2024-04-01T00:00:00.000Z,Google Columbus,2024-04-01,TPU v5p,27617.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:10.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5e at Google Omaha on 2024-04-08T00:00:00.000Z,Google Omaha,2024-04-08,TPU v5e,120879.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:30.000Z,Epoch AI,2026-05-16 10:30:41+00:00
TPU v5p at Google Omaha on 2024-04-08T00:00:00.000Z,Google Omaha,2024-04-08,TPU v5p,33578.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:30:42+00:00
TPU v5e at Google New Albany on 2024-04-20T00:00:00.000Z,Google New Albany,2024-04-20,TPU v5e,103956.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 production mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:31+00:00
TPU v5p at Google New Albany on 2024-04-20T00:00:00.000Z,Google New Albany,2024-04-20,TPU v5p,28877.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 production mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:29.000Z,Epoch AI,2026-05-16 10:29:31+00:00
TPU v5e at Google Bristow on 2024-04-29T00:00:00.000Z,Google Bristow,2024-04-29,TPU v5e,151955.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q2 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-07-08T21:26:13.000Z,Epoch AI,2026-07-08 22:22:16+00:00
TPU v5p at Google Bristow on 2024-04-29T00:00:00.000Z,Google Bristow,2024-04-29,TPU v5p,42209.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,,Epoch AI,2026-07-08T21:26:14.000Z,Epoch AI,2026-07-08 22:22:16+00:00
H100 at CoreWeave Chester VA on 2024-04-30T00:00:00.000Z,CoreWeave Chester VA,2024-04-30,H100,22100.0,Estimate,Estimate,CoreWeave #confident,,Full CTP-01 estimate using the reported 27 MW critical capacity. Chip type and quantity are estimated from the power model.,Epoch AI,2026-06-09T19:59:04.000Z,Epoch AI,2026-06-09 19:59:04+00:00
H100 at Microsoft SAT40 on 2024-05-24T00:00:00.000Z,Microsoft SAT40,2024-05-24,H100,32407.0,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for Building 1.,Epoch AI,2026-05-18T17:53:20.000Z,Epoch AI,2026-05-19 15:12:24+00:00
H100 at Microsoft SAT14 on 2024-07-01T00:00:00.000Z,Microsoft SAT14,2024-07-01,H100,12963.0,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for completed portions of Building 1.,Epoch AI,2026-05-18T17:04:13.000Z,Epoch AI,2026-05-19 15:12:19+00:00
TPU v5p at Google Pryor (North) on 2024-07-19T00:00:00.000Z,Google Pryor (North),2024-07-19,TPU v5p,27959.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q3 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:25:20.000Z,Epoch AI,2026-06-12 15:53:38+00:00
TPU v5e at Google Pryor (North) on 2024-07-19T00:00:00.000Z,Google Pryor (North),2024-07-19,TPU v5e,67102.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q3 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:25:20.000Z,Epoch AI,2026-06-12 15:53:37+00:00
TPU v6e at Google Papillion on 2024-08-03T00:00:00.000Z,Google Papillion,2024-08-03,TPU v6e,28629.0,Estimate,Estimate,Google Cloud #confident,Google #likely,"Buildings 2-3 (Q4 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-14T20:38:40.000Z,Epoch AI,2026-05-18 18:44:21+00:00
TPU v5e at Google Papillion on 2024-08-03T00:00:00.000Z,Google Papillion,2024-08-03,TPU v5e,177290.0,Estimate,Estimate,Google Cloud #confident,Google #likely,"Cumulative through Buildings 2-3 (Q4 FY24 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-14T20:38:40.000Z,Epoch AI,2026-05-18 18:44:20+00:00
TPU v5p at Google Papillion on 2024-08-03T00:00:00.000Z,Google Papillion,2024-08-03,TPU v5p,73871.0,Estimate,Estimate,Google Cloud #confident,Google #likely,"Buildings 2-3 (Q4 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-14T20:38:40.000Z,Epoch AI,2026-05-18 18:44:20+00:00
TPU v6e at Google New Albany on 2024-09-13T00:00:00.000Z,Google New Albany,2024-09-13,TPU v6e,14362.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First deployed in Building 2 (Q4 FY24 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:32+00:00
TPU v5p at Google New Albany on 2024-09-13T00:00:00.000Z,Google New Albany,2024-09-13,TPU v5p,65935.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q4 FY24 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:29.000Z,Epoch AI,2026-05-16 10:29:31+00:00
TPU v5e at Google New Albany on 2024-09-13T00:00:00.000Z,Google New Albany,2024-09-13,TPU v5e,192897.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q4 FY24 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:29.000Z,Epoch AI,2026-05-16 10:29:31+00:00
H100 at STACK Infrastructure NVA02 on 2024-10-01T00:00:00.000Z,STACK Infrastructure NVA02,2024-10-01,H100,60911.0,Estimate,Estimate,,,H100 assumed from 62% market share in Q2 2024 and 8 chips per server (HGX form factor). Count = IT capacity (from air-cooled chiller fan count model) / server power × 8 chips per server.,Epoch AI,2026-04-08T22:16:42.000Z,Epoch AI,2026-04-08 22:16:42+00:00
A100 at Bridge Data Centres Kulai on 2024-11-05T00:00:00.000Z,Bridge Data Centres Kulai,2024-11-05,A100,157895.0,Estimate,Estimate,ByteDance #likely,ByteDance #likely,Buildings 1+2+3+4 - campus 1 complete. A100 through 2024 (user); ~16% of world A100 supply.,Epoch AI,2026-07-16T16:33:55.000Z,Epoch AI,2026-07-16 19:31:53+00:00
H100 at Meta-QTS Hillsboro 2 on 2024-11-08T00:00:00.000Z,Meta-QTS Hillsboro 2,2024-11-08,H100,123839.0,Estimate,Estimate,Meta #likely,Meta #likely,H100 DGX assumed from installation of all cooling by end of 2023.  Count = Total IT power / IT overhead / server power x 8,Epoch AI,2026-07-16T21:24:35.000Z,Epoch AI,2026-07-16 21:24:35+00:00
TPU v5e at Google Council Bluffs (East) on 2024-11-19T00:00:00.000Z,Google Council Bluffs (East),2024-11-19,TPU v5e,60472.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:30.000Z,Epoch AI,2026-05-16 10:31:49+00:00
TPU v6e at Google Council Bluffs (East) on 2024-11-19T00:00:00.000Z,Google Council Bluffs (East),2024-11-19,TPU v6e,47741.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:30.000Z,Epoch AI,2026-05-16 10:31:49+00:00
TPU v5p at Google Council Bluffs (East) on 2024-11-19T00:00:00.000Z,Google Council Bluffs (East),2024-11-19,TPU v5p,25197.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First operational capacity (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5e at Google Omaha on 2024-11-19T00:00:00.000Z,Google Omaha,2024-11-19,TPU v5e,181319.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q1 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:30:42+00:00
TPU v5p at Google Omaha on 2024-11-19T00:00:00.000Z,Google Omaha,2024-11-19,TPU v5p,58761.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q1 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:32.000Z,Epoch AI,2026-05-16 10:30:44+00:00
TPU v6e at Google Omaha on 2024-11-19T00:00:00.000Z,Google Omaha,2024-11-19,TPU v6e,47716.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q1 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:32.000Z,Epoch AI,2026-05-16 10:30:43+00:00
Trainium2 at AWS New Albany on 2024-12-01T00:00:00.000Z,AWS New Albany,2024-12-01,Trainium2,295326.0,Estimate,Estimate,Amazon #confident,AWS #confident,Buildings 5-9 are modeled as Trainium2 because they were operational before Q2 2025. No New Albany-specific chip disclosure was found.,Epoch AI,2026-07-14T17:16:27.000Z,Epoch AI,2026-07-14 17:16:27+00:00
H100 at DayOne Nusajaya on 2024-12-31T00:00:00.000Z,DayOne Nusajaya,2024-12-31,H100,34400.0,Estimate,Estimate,"ByteDance #likely, Oracle #likely",,"H100: https://english.cw.com.tw/article/article.action?id=4385. ByteDance likely: https://asiatimes.com/2026/03/nvidia-chip-curbs-turn-singapore-into-ai-hub-for-china/, https://english.cw.com.tw/article/article.action?id=4385. Oracle likely: https://newsletter.semianalysis.com/p/how-oracle-is-winning-the-ai-compute-market",Epoch AI,2026-05-08T22:23:31.000Z,Epoch AI,2026-05-16 10:30:42+00:00
H100 at Bridge Data Centres Kulai on 2025-01-01T00:00:00.000Z,Bridge Data Centres Kulai,2025-01-01,H100,155318.0,Estimate,Estimate,ByteDance #likely,ByteDance #likely,Buildings 6+7+9. H100: WSJ Aolani H100-leasing era.,Epoch AI,2026-07-13T07:49:29.000Z,Epoch AI,2026-07-16 19:31:53+00:00
H100 at xAI QTS Atlanta on 2025-01-08T00:00:00.000Z,xAI QTS Atlanta,2025-01-08,H100,11000.0,Company disclosure,Company disclosure,xAI #confident,,,Epoch AI,2026-07-15T16:13:39.000Z,Epoch AI,2026-07-15 16:13:39+00:00
A100 at xAI QTS Atlanta on 2025-01-08T00:00:00.000Z,xAI QTS Atlanta,2025-01-08,A100,1448.0,Company disclosure,Estimate,xAI #confident,,,Epoch AI,2026-07-15T16:13:39.000Z,Epoch AI,2026-07-15 16:13:39+00:00
H100 at Microsoft Goodyear on 2025-01-16T00:00:00.000Z,Microsoft Goodyear,2025-01-16,H100,58302.0,Estimate,Estimate,Microsoft #confident,Microsoft #confident,"Building 2 also H100. Count = cumulative H100s across Buildings 1 and 2, each derived from IT capacity / server power × 8.",Epoch AI,2026-04-02T19:44:28.000Z,Epoch AI,2026-05-16 10:29:36+00:00
H100 at Bridge Data Centres Kulai on 2025-02-09T00:00:00.000Z,Bridge Data Centres Kulai,2025-02-09,H100,178883.0,Estimate,Estimate,ByteDance #likely,ByteDance #likely,Buildings 5+6+7+9 (+B5).,Epoch AI,2026-07-13T07:49:29.000Z,Epoch AI,2026-07-16 19:31:53+00:00
B200 at Microsoft Project Osmium on 2025-03-01T00:00:00.000Z,Microsoft Project Osmium,2025-03-01,B200,45455.0,Estimate,Estimate,Microsoft #confident,OpenAI #speculative,Type estimated based on chip sales data. # of units estimated based  on power for Building 3-4,Epoch AI,2026-05-03T00:19:43.000Z,Epoch AI,2026-06-18 05:42:55+00:00
TPU v6e at Google Columbus on 2025-03-01T00:00:00.000Z,Google Columbus,2025-03-01,TPU v6e,78489.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q2 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:11.000Z,Epoch AI,2026-05-16 10:31:50+00:00
TPU v5p at Google Columbus on 2025-03-01T00:00:00.000Z,Google Columbus,2025-03-01,TPU v5p,41425.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 2 (Q2 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:11.000Z,Epoch AI,2026-05-16 10:31:51+00:00
TPU v6e at Google The Dalles on 2025-03-07T00:00:00.000Z,Google The Dalles,2025-03-07,TPU v6e,93248.0,Estimate,Estimate,,,"Building 1 (Q2 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production, and per-chip TDP.",Epoch AI,2026-05-19T01:41:17.000Z,Epoch AI,2026-05-19 01:41:17+00:00
TPU v5p at Google The Dalles on 2025-03-07T00:00:00.000Z,Google The Dalles,2025-03-07,TPU v5p,16405.0,Estimate,Estimate,,,"Building 1 (Q2 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production, and per-chip TDP.",Epoch AI,2026-05-19T01:41:18.000Z,Epoch AI,2026-05-19 01:41:18+00:00
B200 at Meta Rosemount on 2025-04-29T00:00:00.000Z,Meta Rosemount,2025-04-29,B200,85364.0,Estimate,Estimate,Meta #confident,Meta #confident,GB200 NVL72 assumed from commissioning timeline and Chip Owners estimates: https://epoch.ai/data/ai-chip-owners. Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-25T21:34:28.000Z,Epoch AI,2026-06-25 21:34:28+00:00
TPU v5e at Google Bristow on 2025-04-29T00:00:00.000Z,Google Bristow,2025-04-29,TPU v5e,151955.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,,Epoch AI,2026-07-08T22:22:17.000Z,Epoch AI,2026-07-08 22:22:17+00:00
TPU v6e at Google Bristow on 2025-04-29T00:00:00.000Z,Google Bristow,2025-04-29,TPU v6e,119965.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q2 FY25 mix). In addition to Building 1. Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-07-08T22:22:17.000Z,Epoch AI,2026-07-08 22:22:17+00:00
TPU v5p at Google Bristow on 2025-04-29T00:00:00.000Z,Google Bristow,2025-04-29,TPU v5p,63313.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,,Epoch AI,2026-07-08T22:22:17.000Z,Epoch AI,2026-07-08 22:22:17+00:00
B200 at Oracle Batam on 2025-05-15T00:00:00.000Z,Oracle Batam,2025-05-15,B200,15999.0,Estimate,Estimate,Oracle #likely,,"Estimated from power capacity. DayOne partners with NVIDIA, and these are the best wide-sold chips available at the time. In a [LinkedIn post](https://www.linkedin.com/posts/digitaltransformation-datacenter-ugcPost-7264614420276744194-aQSa/) DayOne said it ""signed a contract with a leading global tech company in Q3 [2024] for 34 MW committed and 38 MW reserved capacity at our Batam campus."" A partnership with Oracle specifically was later [reported](https://www.datacenterdynamics.com/en/news/oracle-establishes-cloud-presence-in-indonesia/), and 34 MW corresponds to the first two data center buildings.",Epoch AI,2026-05-06T14:56:02.000Z,Epoch AI,2026-05-16 10:28:24+00:00
TPU v6e at Google New Albany on 2025-06-01T00:00:00.000Z,Google New Albany,2025-06-01,TPU v6e,134049.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 3 (Q3 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:32+00:00
Ascend 910C at Huawei Horinger on 2025-06-01T00:00:00.000Z,Huawei Horinger,2025-06-01,Ascend 910C,34776.0,Estimate,Esimate,Huawei #confident,,,Epoch AI,2026-07-01T21:34:52.000Z,Epoch AI,2026-07-08 15:48:17+00:00
TPU v6e at Google Council Bluffs (East) on 2025-06-15T00:00:00.000Z,Google Council Bluffs (East),2025-06-15,TPU v6e,167093.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative (Q3 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-03-12T20:26:31.000Z,Epoch AI,2026-05-16 10:31:50+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2025-06-23T00:00:00.000Z,Anthropic-Amazon New Carlisle,2025-06-23,Trainium2,457200.0,Company disclosure,Company disclosure,Amazon #confident,Anthropic #confident,"Project Rainier [announced](https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster) with Trainium2. In an [interview](https://www.youtube.com/watch?v=jwgW_gHI1Vs&t=220s), AWS CEO says ""they're already running...about 500,000 [Trainium2] chips in Indiana today"". Count = 7 × chips per building, where chips per building = generator-based power / (PUE × IT overhead × chip TDP).",Epoch AI,2026-04-02T19:44:25.000Z,Epoch AI,2026-07-15 16:43:37+00:00
Trainium2 at Amazon Madison Mega Site on 2025-06-23T00:00:00.000Z,Amazon Madison Mega Site,2025-06-23,Trainium2,326555.0,Estimate,Estimate,Amazon #confident,Amazon #confident,"Chip type assumed from Project Rainier announcement (Trainium2). 5 buildings operational. Count = buildings × chips per building, where chips per building = building power / (PUE × IT overhead factor × chip TDP).",Epoch AI,2026-04-02T19:44:30.000Z,Epoch AI,2026-07-15 19:17:28+00:00
TPU v6e at Google Storey County on 2025-06-30T00:00:00.000Z,Google Storey County,2025-06-30,TPU v6e,121656.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,Building 2 (Q3 FY25 mix: v6e only). Delta from Building 1 IT power.,Epoch AI,2026-05-01T19:31:24.000Z,Epoch AI,2026-06-18 05:41:51+00:00
Ascend 910C at VNET Bayin Ulanqab on 2025-07-01T00:00:00.000Z,VNET Bayin Ulanqab,2025-07-01,Ascend 910C,27568.0,Estimate,Estimate,VNET #confident,ByteDance #speculative,"Ascend 910C is assumed based on it being the best and most-produced domestic chip at the time. Speculative to likely on User, given general partnership between VNET and ByteDance.",Epoch AI,2026-05-14T15:52:51.000Z,Aidan H,2026-07-10 23:17:31+00:00
TPU v6e at Google Mesa on 2025-07-01T00:00:00.000Z,Google Mesa,2025-07-01,TPU v6e,135846.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 1 (Q3 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-29T15:09:39.000Z,Epoch AI,2026-05-29 15:09:39+00:00
Ascend 910C at Huawei Horinger on 2025-07-01T00:00:00.000Z,Huawei Horinger,2025-07-01,Ascend 910C,69552.0,Estimate,Estimate,Huawei #confident,,,Epoch AI,2026-07-01T21:34:52.000Z,Epoch AI,2026-07-08 15:48:17+00:00
H100 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,H100,150000.0,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"This is roughly when Musk [said](https://archive.is/z39uN), plus on this date they [reported](https://x.ai/colossus) ""running jobs with 150K+ GPUs"".",Ben Cottier,2025-10-02T13:36:30.000Z,Epoch AI,2026-05-16 10:30:41+00:00
H200 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,H200,50000.0,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"This is roughly when Musk [said](https://archive.is/z39uN), plus on this date they [reported](https://x.ai/colossus) ""running jobs with 150K+ GPUs"".",Ben Cottier,2026-03-02T15:11:08.000Z,Epoch AI,2026-05-16 10:30:41+00:00
B200 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,B200,30000.0,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[30k B200s added](https://archive.is/oHQSA) (in GB200 configuration).,Ben Cottier,2026-03-02T15:12:00.000Z,Epoch AI,2026-05-16 10:30:41+00:00
