Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
B200 at Meta Prometheus on 2026-05-18T00:00:00.000Z,Meta Prometheus,2026-05-18,B200,268973.0,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Meta tent buildings 11-15. Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-07-13 16:03:19+00:00
B200 at AWS New Albany on 2026-05-18T00:00:00.000Z,AWS New Albany,2026-05-18,B200,33247.0,Estimate,Estimate,Amazon #confident,AWS #confident,"Cumulative B200 count after northern Building 1 is added, with B200 providing one-third of modeled post-Q2-2025 compute.",Epoch AI,2026-07-14T17:16:28.000Z,Epoch AI,2026-07-17 13:55:54+00:00
H200 at AWS New Albany on 2026-05-18T00:00:00.000Z,AWS New Albany,2026-05-18,H200,83998.0,Estimate,Estimate,Amazon #confident,AWS #confident,"Cumulative H200 count after northern Building 1 is added, with H200 providing one-third of modeled post-Q2-2025 compute.",Epoch AI,2026-07-17T13:55:54.000Z,Epoch AI,2026-07-17 13:55:54+00:00
Trainium2 at AWS New Albany on 2026-05-18T00:00:00.000Z,AWS New Albany,2026-05-18,Trainium2,423295.0,Estimate,Estimate,Amazon #confident,AWS #confident,Includes the original Trainium2 baseline plus Trainium2 providing one-third of all newer operational compute.,Epoch AI,2026-07-17T13:55:55.000Z,Epoch AI,2026-07-17 13:55:55+00:00
TPU v7 at Google Bristow on 2026-05-20T00:00:00.000Z,Google Bristow,2026-05-20,TPU v7,37418.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,,Epoch AI,2026-07-08T22:22:18.000Z,Epoch AI,2026-07-08 22:22:18+00:00
TPU v6e at Google Bristow on 2026-05-20T00:00:00.000Z,Google Bristow,2026-05-20,TPU v6e,147409.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,Building 3 (Q1 FY26 mix).  In addition to Biulding 1 and 2 with same methodolgy.,Epoch AI,2026-07-08T22:22:18.000Z,Epoch AI,2026-07-08 22:22:18+00:00
TPU v5p at Google Bristow on 2026-05-20T00:00:00.000Z,Google Bristow,2026-05-20,TPU v5p,63313.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,,Epoch AI,2026-07-08T22:22:18.000Z,Epoch AI,2026-07-08 22:22:18+00:00
TPU v5e at Google Bristow on 2026-05-20T00:00:00.000Z,Google Bristow,2026-05-20,TPU v5e,151955.0,Estimate,Estimate,Google #confident,Google DeepMind #likely,,Epoch AI,2026-07-08T22:22:18.000Z,Epoch AI,2026-07-08 22:22:18+00:00
B200 at CoreWeave Chester VA on 2026-05-20T00:00:00.000Z,CoreWeave Chester VA,2026-05-20,B200,26162.0,Estimate,Estimate,CoreWeave #confident,,Estimated Building 2 B200 count using Building 2’s share of modeled CTP-02/03 IT power.,Epoch AI,2026-07-14T23:18:41.000Z,Epoch AI,2026-07-14 23:18:41+00:00
B300 at OpenAI Stargate Abilene on 2026-05-23T00:00:00.000Z,OpenAI Stargate Abilene,2026-05-23,B300,100800.0,Estimate,Estimate,Oracle #confident,OpenAI #confident,"Building design is the same but the chillers are slightly larger, suggesting the same number of servers but slightly more power per server. This is consistent with B300, as is the timing with B300 chip sales ramping up.",Epoch AI,2026-04-22T20:08:29.000Z,Epoch AI,2026-05-16 10:28:24+00:00
B200 at Meta Prometheus on 2026-05-28T00:00:00.000Z,Meta Prometheus,2026-05-28,B200,301951.0,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 17 (Vantage). Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-07-13 16:03:19+00:00
TPU v7 at Fluidstack Lake Mariner on 2026-05-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-05-31,TPU v7,25120.0,Estimate,Estimate,Fluidstack #likely,Anthropic #likely,"Building 3. Leased to [Fluidstack](https://investors.terawulf.com/news-events/press-releases/detail/112/terawulf-signs-200-mw-10-year-ai-hosting-agreements-with), likely containing [Google TPUs](https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/), likely used by [Anthropic](https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure). Assume TPU v7 (Ironwood), since v7 is expected to dominate TPU production by mid-2026 (see TPU_Production). Count = IT power / default AI chip IT overhead / TPU v7 TDP.",Epoch AI,2026-07-15T23:46:17.000Z,Epoch AI,2026-07-15 23:46:17+00:00
H200 at Colossus 1 on 2026-06-01T00:00:00.000Z,Colossus 1,2026-06-01,H200,50000.0,Company disclosure,Company disclosure,SpaceXAI #confident,Anthropic #confident,"https://www.anthropic.com/news/higher-limits-spacex. As of June, because they said ""within the month [of May]""",Epoch AI,2026-05-07T22:24:52.000Z,Epoch AI,2026-05-16 10:30:42+00:00
B200 at Colossus 1 on 2026-06-01T00:00:00.000Z,Colossus 1,2026-06-01,B200,30000.0,Company disclosure,Company disclosure,SpaceXAI #confident,Anthropic #confident,"https://www.anthropic.com/news/higher-limits-spacex. As of June, because they said ""within the month [of May]""",Epoch AI,2026-05-07T22:24:52.000Z,Epoch AI,2026-05-16 10:30:43+00:00
H100 at Colossus 1 on 2026-06-01T00:00:00.000Z,Colossus 1,2026-06-01,H100,150000.0,Company disclosure,Company disclosure,SpaceXAI #confident,Anthropic #confident,"https://www.anthropic.com/news/higher-limits-spacex. As of June, because they said ""within the month [of May]""",Epoch AI,2026-05-07T22:24:52.000Z,Epoch AI,2026-05-16 10:30:41+00:00
B300 at Meta Kuna on 2026-06-01T00:00:00.000Z,Meta Kuna,2026-06-01,B300,68571.0,Estimate,Estimate,Meta #confident,Meta #confident,"Presumably the same as Meta Temple, and the most sold chip in Q4 2025 by a small margin.",Epoch AI,2026-07-14T03:07:19.000Z,Epoch AI,2026-07-14 03:07:19+00:00
B200 at Microsoft Fairwater Atlanta on 2026-06-14T00:00:00.000Z,Microsoft Fairwater Atlanta,2026-06-14,B200,304279.0,Estimate,Estimate,Microsoft #confident,Microsoft #confident,All 4 buildings. Same model using total facility power.,Epoch AI,2026-06-09T16:57:37.000Z,Epoch AI,2026-06-09 16:57:37+00:00
B300 at Meta Gallatin on 2026-06-15T00:00:00.000Z,Meta Gallatin,2026-06-15,B300,39453.0,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-16T21:05:04.000Z,Epoch AI,2026-06-16 21:05:04+00:00
B300 at Meta Montgomery on 2026-06-18T00:00:00.000Z,Meta Montgomery,2026-06-18,B300,69074.0,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-11T20:49:34.000Z,Epoch AI,2026-06-11 20:49:34+00:00
B200 at Coreweave Helios on 2026-06-30T00:00:00.000Z,Coreweave Helios,2026-06-30,B200,63151.0,Estimate,Estimate,CoreWeave #confident,CoreWeave #confident,"GB200 NVL72 assumed from rack density specs (130-140 kW, matching NVL72). Phase I (1 building, 200 MW). Count = reported facility power / PUE / IT overhead / server power × 72.",Epoch AI,2026-04-02T19:45:37.000Z,Epoch AI,2026-05-16 10:31:50+00:00
B200 at CoreWeave Denton TX on 2026-06-30T00:00:00.000Z,CoreWeave Denton TX,2026-06-30,B200,100000.0,Estimate,Estimate,CoreWeave #confident,OpenAI #likely,"This is the estimated final CoreWeave AI load. Since it's disclosed to be >50,000 GPUs at ~130 MW, a safe estimate can be 100,000 GPUs at the full 260 MW. (MarketBeat)",Epoch AI,2026-05-14T15:54:00.000Z,Epoch AI,2026-05-16 10:34:07+00:00
B300 at Colossus 2 on 2026-07-01T00:00:00.000Z,Colossus 2,2026-07-01,B300,330000.0,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-24T17:53:06.000Z,Epoch AI,2026-07-07 15:01:04+00:00
Ascend 910C at Huawei Horinger on 2026-07-01T00:00:00.000Z,Huawei Horinger,2026-07-01,Ascend 910C,163291.0,Estimate,Estimate,Huawei #confident,,,Epoch AI,2026-07-09T20:37:15.000Z,Epoch AI,2026-07-09 20:37:15+00:00
B300 at Meta Aiken on 2026-07-15T00:00:00.000Z,Meta Aiken,2026-07-15,B300,64098.0,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",,Epoch AI,2026-06-12T17:04:02.000Z,Axel Campos,2026-06-15 18:30:53+00:00
B300 at Meta Cheyenne on 2026-07-25T00:00:00.000Z,Meta Cheyenne,2026-07-25,B300,68367.0,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-18T15:12:46.000Z,Epoch AI,2026-06-30 20:43:13+00:00
Trainium2 at AWS Berwick on 2026-08-01T00:00:00.000Z,AWS Berwick,2026-08-01,Trainium2,129434.0,Estimate,Estimate,Amazon #confident,,Building 3 is added to the operational estimate. Quantity is estimated from modeled IT power using the same Trainium2 chips-per-IT-MW assumption as the earlier rows. Actual deployed hardware may differ.,Epoch AI,2026-07-17T20:54:09.000Z,Epoch AI,2026-07-17 20:54:09+00:00
B300 at Meta Sarpy on 2026-08-02T00:00:00.000Z,Meta Sarpy,2026-08-02,B300,36300.0,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-07-07T21:34:05.000Z,Epoch AI,2026-07-07 21:34:05+00:00
B300 at Southgate Melbourne on 2026-08-09T00:00:00.000Z,Southgate Melbourne,2026-08-09,B300,18400.0,Company disclosure,Company disclosure,Firmus #confident,,"Confirmed via company disclosure (Firmus press releases citing 18,400 GB300 GPUs for this Melbourne facility). Cooling capacity confirms this building can support at least this many chips (plus headroom); we report only the confirmed disclosed figure rather than speculating on additional capacity.",Epoch AI,2026-07-16T20:21:15.000Z,Epoch AI,2026-07-16 21:24:41+00:00
B200 at Meta Prometheus on 2026-08-26T00:00:00.000Z,Meta Prometheus,2026-08-26,B200,334928.0,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 18 (Vantage). Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-07-13 16:03:19+00:00
B300 at Meta Temple on 2026-09-30T00:00:00.000Z,Meta Temple,2026-09-30,B300,80139.0,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 3. Same model, adding Building 3 IT capacity (estimated from tent design power, ~40 MW total / PUE).",Epoch AI,2026-04-02T19:45:38.000Z,Epoch AI,2026-06-11 20:53:36+00:00
B200 at Meta Prometheus on 2026-10-01T00:00:00.000Z,Meta Prometheus,2026-10-01,B200,408539.0,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Buildings 19-24 (Meta tents), powered by Socrates South and North gas plants (each 200 MW). Same model.",Epoch AI,2026-04-02T19:46:44.000Z,Epoch AI,2026-07-13 16:03:20+00:00
B300 at DayOne Nusajaya on 2026-10-02T00:00:00.000Z,DayOne Nusajaya,2026-10-02,B300,217467.0,Estimate,Estimate,"ByteDance #likely, Oracle #likely",,"B300 based on the timing of total chip sales in the prior quarter (https://epoch.ai/data/ai-chip-sales), plus DayOne's partnership with NVIDIA (they mention using GB200 here: https://dayonedc.com/our-solutions). ByteDance likely: https://asiatimes.com/2026/03/nvidia-chip-curbs-turn-singapore-into-ai-hub-for-china/, https://english.cw.com.tw/article/article.action?id=4385. Oracle likely: https://newsletter.semianalysis.com/p/how-oracle-is-winning-the-ai-compute-market",Epoch AI,2026-05-08T22:23:32.000Z,Epoch AI,2026-06-12 18:43:03+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2026-10-19T00:00:00.000Z,Anthropic-Amazon New Carlisle,2026-10-19,Trainium2,1044980.0,Company disclosure,Estimate,Amazon #confident,Anthropic #confident,All 18 buildings operational. Same model.,Epoch AI,2026-06-16T18:08:09.000Z,Epoch AI,2026-07-15 16:43:38+00:00
B300 at OpenAI Stargate Abilene on 2026-11-01T00:00:00.000Z,OpenAI Stargate Abilene,2026-11-01,B300,302400.0,Estimate,Estimate,Oracle #confident,OpenAI #confident,"Buildings 5-8 come online, bringing total B300 buildings to 6. Same building design as B200 buildings but slightly larger chillers suggest same server count with higher power per server, consistent with B300 and timing of B300 chip sales ramp.",Epoch AI,2026-07-13T15:59:10.000Z,Epoch AI,2026-07-13 15:59:10+00:00
R200 at QTS Cedar Rapids on 2026-11-15T00:00:00.000Z,QTS Cedar Rapids,2026-11-15,R200,111585.0,Estimate,Estimate,,,VR200 NVL72 assumed based on expected availability at time of operation (late 2026). Buildings 1-3. Count from air-cooled chiller fan count model for IT capacity / (IT overhead × server power) × 72.,Epoch AI,2026-04-02T19:46:48.000Z,Epoch AI,2026-04-02 19:46:48+00:00
B200 at G42-Khazna Ajman on 2026-12-01T00:00:00.000Z,G42-Khazna Ajman,2026-12-01,B200,47847.0,Estimate,Estimate,G42 #confident,G42 #confident,GB200 NVL72 assumed. Count = chips per data hall × 20 data halls. Chips per data hall derived from 5 MW IT per hall / (IT overhead × 8 containment modules per hall power budget / server power × 72).,Epoch AI,2026-04-02T19:43:24.000Z,Epoch AI,2026-05-16 10:29:34+00:00
B300 at OpenAI Stargate UAE on 2026-12-01T00:00:00.000Z,OpenAI Stargate UAE,2026-12-01,B300,100000.0,Estimate,Estimate,MGX #estimate,OpenAI #estimate,"B300 based on https://www.g42.ai/resources/news/global-tech-alliance-launches-stargate-uae. Count = 100,000 chips/year available to G42 per US export approval. [Bloomberg](https://www.bloomberg.com/news/articles/2025-10-09/us-approves-several-billion-dollars-of-nvidia-nvda-ai-chip-sales-to-uae)",Epoch AI,2026-05-18T18:38:07.000Z,Epoch AI,2026-05-18 18:38:07+00:00
B300 at Goodnight on 2026-12-15T00:00:00.000Z,Goodnight,2026-12-15,B300,49282.0,Estimate,Estimate,Google #speculative,Google #speculative,GB300 NVL72 assumed from similar design to Stargate Abilene and timing. Count = 103 MW IT power (from tax abatement agreement) / (IT overhead × server power) × 72.,Epoch AI,2026-06-22T22:41:40.000Z,Epoch AI,2026-06-22 22:41:40+00:00
B200 at CoreWeave Ellendale ND on 2026-12-31T00:00:00.000Z,CoreWeave Ellendale ND,2026-12-31,B200,118700.0,Estimate,Estimate,CoreWeave #confident,,"Modeled date for Building 2 reaching full service. Chip count uses modeled Building 1 IT load plus the officially disclosed 150 MW for Building 2, for 217.7 MW total modeled IT load.",Epoch AI,2026-05-27T18:14:04.000Z,Epoch AI,2026-07-08 21:24:48+00:00
B300 at CoreWeave Muskogee OK on 2026-12-31T00:00:00.000Z,CoreWeave Muskogee OK,2026-12-31,B300,36000.0,Company disclosure,Estimate,CoreWeave #confident,,"Core Scientific says the leased 70 MW Muskogee building is designed for the Nvidia GB300 platform and targeted for Q2 2026 delivery. The exact chip count is not disclosed, so this estimates B300 GPUs from the disclosed IT load using an assumed all-in IT load per GPU. Owner is CoreWeave because Core Scientific says the site will host CoreWeave's NVIDIA GPUs. User is undisclosed because the customer was explicitly not named.",Epoch AI,2026-06-15T22:34:23.000Z,Epoch AI,2026-06-15 22:34:23+00:00
B300 at Meta Montgomery on 2027-01-02T00:00:00.000Z,Meta Montgomery,2027-01-02,B300,161283.0,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-11T20:49:35.000Z,Epoch AI,2026-06-11 20:49:35+00:00
B300 at Goodnight on 2027-02-15T00:00:00.000Z,Goodnight,2027-02-15,B300,98565.0,Estimate,Estimate,Google #speculative,Google #speculative,"2 buildings operational. Same model, doubled.",Epoch AI,2026-06-22T22:41:40.000Z,Epoch AI,2026-06-22 22:41:40+00:00
B300 at Meta Cheyenne on 2027-02-15T00:00:00.000Z,Meta Cheyenne,2027-02-15,B300,99382.0,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-30T20:43:13.000Z,Epoch AI,2026-06-30 20:43:13+00:00
B200 at Microsoft Fairwater Wisconsin on 2027-02-20T00:00:00.000Z,Microsoft Fairwater Wisconsin,2027-02-20,B200,352782.0,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,2 buildings operational. Same model based on estimated IT power.,Epoch AI,2026-04-17T22:18:05.000Z,Epoch AI,2026-07-13 23:25:15+00:00
B300 at Meta Montgomery on 2027-02-23T00:00:00.000Z,Meta Montgomery,2027-02-23,B300,92209.0,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-11T20:49:34.000Z,Epoch AI,2026-06-11 20:49:34+00:00
B200 at CoreWeave Norway on 2027-04-01T00:00:00.000Z,CoreWeave Norway,2027-04-01,B200,,Estimate,Estimate,CoreWeave #speculative,,"Speculative future row. If Building 4 is modeled as another CoreWeave AI building similar to the 42 MW DCM102 facility, then it adds another estimated 30,240 B200/Blackwell GPUs.",Epoch AI,2026-07-07T20:37:01.000Z,Epoch AI,2026-07-09 18:30:00+00:00
B200 at CoreWeave Ellendale ND on 2027-06-01T00:00:00.000Z,CoreWeave Ellendale ND,2027-06-01,B200,200500.0,Estimate,Estimate,CoreWeave #confident,,"Modeled date for Building 3 reaching service around mid-2027. Chip count uses modeled Building 1 IT load plus 150 MW each for Buildings 2 and 3, for 367.7 MW total modeled IT load.",Epoch AI,2026-05-27T18:14:04.000Z,Epoch AI,2026-07-08 21:24:49+00:00
B200 at CoreWeave Chester VA on 2027-06-30T00:00:00.000Z,CoreWeave Chester VA,2027-06-30,B200,41012.0,Estimate,Estimate,CoreWeave #confident,,Estimated combined B200 count for CTP-02 and CTP-03 using the modeled 85.71 MW of IT power. Uses the GB200 NVL72 fallback.,Epoch AI,2026-07-15T16:03:17.000Z,Epoch AI,2026-07-15 16:03:17+00:00
B200 at AWS New Albany on 2027-07-01T00:00:00.000Z,AWS New Albany,2027-07-01,B200,59844.0,Estimate,Estimate,Amazon #confident,AWS #confident,Projected cumulative B200 count under the post-Q2-2025 equal-compute mixture.,Epoch AI,2026-07-14T17:16:29.000Z,Epoch AI,2026-07-17 13:55:55+00:00
Trainium2 at AWS New Albany on 2027-07-01T00:00:00.000Z,AWS New Albany,2027-07-01,Trainium2,525671.0,Estimate,Estimate,Amazon #confident,AWS #confident,Original Trainium2 baseline plus the projected Trainium2 share of newer full-buildout capacity.,Epoch AI,2026-07-14T17:16:29.000Z,Epoch AI,2026-07-17 13:55:55+00:00
H200 at AWS New Albany on 2027-07-01T00:00:00.000Z,AWS New Albany,2027-07-01,H200,151197.0,Estimate,Estimate,Amazon #confident,AWS #confident,Projected cumulative H200 count under the post-Q2-2025 equal-compute mixture.,Epoch AI,2026-07-17T13:55:55.000Z,Epoch AI,2026-07-17 13:55:55+00:00
Trainium2 at AWS Berwick on 2027-08-01T00:00:00.000Z,AWS Berwick,2027-08-01,Trainium2,194506.0,Estimate,Estimate,Amazon #confident,,Building 4 is added to the operational estimate. Quantity is estimated from modeled IT power using the same Trainium2 chips-per-IT-MW assumption as the earlier rows.,Epoch AI,2026-07-17T20:54:09.000Z,Epoch AI,2026-07-17 20:54:09+00:00
R200 at OpenAI Stargate Shackelford on 2027-08-15T00:00:00.000Z,OpenAI Stargate Shackelford,2027-08-15,R200,34880.0,Estimate,Estimate,Oracle #confident,OpenAI #confident,VR200 NVL72 assumed based on expected availability by 2027. Building 1 (140 MW IT). Count = IT power / (IT overhead × VR200 server power) × 72.,Epoch AI,2026-07-07T21:34:50.000Z,Epoch AI,2026-07-07 21:34:50+00:00
B200 at Vantage TX1 on 2027-08-31T00:00:00.000Z,Vantage TX1,2027-08-31,B200,61244.0,Estimate,Estimate,,,"Adds Building 2 (96 MW reported IT power, TDLR). Same model, cumulative.",Epoch AI,2026-04-02T19:46:50.000Z,Epoch AI,2026-04-02 19:46:50+00:00
R200 at Crusoe Abilene Expansion on 2027-09-17T00:00:00.000Z,Crusoe Abilene Expansion,2027-09-17,R200,83713.0,Estimate,Estimate,NVIDIA #speculative,Meta #speculative,"[Bloomberg](https://www.bloomberg.com/news/articles/2026-03-06/oracle-and-openai-end-plans-to-expand-flagship-data-center). R200 Expected in 2H2026, so should be shipping in high volume by the time Building 9-10 are operational. Rubin Ultra likely not ready in the required volume. Estimated from power capacity.",Epoch AI,2026-03-09T19:28:52.000Z,Epoch AI,2026-05-16 10:34:12+00:00
R200 at Goodnight on 2027-10-01T00:00:00.000Z,Goodnight,2027-10-01,R200,199316.0,Estimate,Estimate,Google #speculative,Google #speculative,"Buildings 3-6 use VR200 NVL72 (expected next-gen by operational date). Count = 4 buildings × chips per building, where per-building power is based on labeled blueprints in regulatory documents.",Epoch AI,2026-04-02T19:45:40.000Z,Epoch AI,2026-06-18 05:41:50+00:00
R200 at Crusoe Abilene Expansion on 2027-11-11T00:00:00.000Z,Crusoe Abilene Expansion,2027-11-11,R200,167426.0,Estimate,Estimate,NVIDIA #speculative,Meta #speculative,"[Bloomberg](https://www.bloomberg.com/news/articles/2026-03-06/oracle-and-openai-end-plans-to-expand-flagship-data-center). R200 Expected in 2H2026, so should be shipping in high volume by the time Building 9-10 are operational. Rubin Ultra likely not ready in the required volume. Estimated from power capacity.",Epoch AI,2026-03-09T19:28:53.000Z,Epoch AI,2026-05-16 10:34:12+00:00
R300 at QTS Cedar Rapids on 2027-11-15T00:00:00.000Z,QTS Cedar Rapids,2027-11-15,R300,144303.0,Estimate,Estimate,,,"Rubin Ultra NVL576 for buildings 4-7, assumed from expected availability (late 2027). Count from chiller-based IT capacity / (IT overhead × server power) × 144.",Epoch AI,2026-04-02T19:46:49.000Z,Epoch AI,2026-04-02 19:46:49+00:00
R200 at OpenAI Stargate UAE on 2028-01-01T00:00:00.000Z,OpenAI Stargate UAE,2028-01-01,R200,300000.0,Estimate,Estimate,MGX #estimate,OpenAI #estimate,VR200 NVL72 for expansion (next-gen by 2028). Count = 3 years of chip allocation at 100k chips/year.,Epoch AI,2026-04-02T19:43:21.000Z,Epoch AI,2026-05-16 10:29:29+00:00
B200 at Coreweave Helios on 2028-01-01T00:00:00.000Z,Coreweave Helios,2028-01-01,B200,189452.0,Estimate,Estimate,CoreWeave #confident,CoreWeave #confident,"Phase II complete (3 buildings, 600 MW). Same model.",Epoch AI,2026-04-02T19:45:37.000Z,Epoch AI,2026-05-16 10:31:51+00:00
R200 at Meta Hyperion on 2028-01-01T00:00:00.000Z,Meta Hyperion,2028-01-01,R200,309228.0,Estimate,Estimate,Meta #confident,Meta #confident,"VR200 NVL72 assumed based on expected availability by 2028 (1 year after release). Count = total facility power / (PUE × IT overhead × VR200 server power) × 72. 9 buildings in first phase, 2262 MW.",Epoch AI,2026-04-02T19:45:39.000Z,Epoch AI,2026-05-21 21:36:40+00:00
R200 at OpenAI Stargate Shackelford on 2028-03-08T00:00:00.000Z,OpenAI Stargate Shackelford,2028-03-08,R200,174402.0,Estimate,Estimate,Oracle #confident,OpenAI #confident,5 buildings operational (700 MW IT). Same per-building model.,Epoch AI,2026-07-07T21:34:51.000Z,Epoch AI,2026-07-07 21:34:51+00:00
Trainium2 at Amazon Madison Mega Site on 2028-03-15T00:00:00.000Z,Amazon Madison Mega Site,2028-03-15,Trainium2,783732.0,Estimate,Estimate,Amazon #confident,Amazon #confident,All 12 buildings operational. Same model as above.,Epoch AI,2026-06-12T18:43:00.000Z,Epoch AI,2026-07-15 19:17:28+00:00
B200 at CoreWeave Norway on 2028-04-01T00:00:00.000Z,CoreWeave Norway,2028-04-01,B200,,Estimate,Estimate,CoreWeave #speculative,,"Speculative future row. If Building 5 is modeled as another CoreWeave AI building similar to the 42 MW DCM102 facility, then it adds another estimated 30,240 B200/Blackwell GPUs.",Epoch AI,2026-07-07T20:37:01.000Z,Epoch AI,2026-07-09 18:30:00+00:00
B200 at Microsoft Fairwater Wisconsin on 2028-05-13T00:00:00.000Z,Microsoft Fairwater Wisconsin,2028-05-13,B200,1791897.0,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,Full chip estimate for 11 buildings operational. Count derived from the final projected FP8 performance for Buildings 1-11 using the standardized B200 per-chip performance.,Epoch AI,2026-07-13T22:22:05.000Z,Epoch AI,2026-07-13 22:22:05+00:00
B200 at Microsoft Fairwater Wisconsin on 2028-05-13T00:00:00.000Z,Microsoft Fairwater Wisconsin,2028-05-13,B200,1791897.0,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,Full chip estimate for 11 buildings operational. Count derived from the final projected FP8 performance for Buildings 1-11 using the standardized B200 per-chip performance.,Epoch AI,2026-07-13T22:24:26.000Z,Epoch AI,2026-07-13 22:24:26+00:00
Trainium2 at Amazon Ridgeland on 2028-09-29T00:00:00.000Z,Amazon Ridgeland,2028-09-29,Trainium2,763636.0,Estimate,Estimate,Amazon #confident,Amazon #confident,"All 14 buildings. Buildings 1-4 have 26 generators each, buildings 5-14 have 28, giving different chip counts per building type.",Epoch AI,2026-07-07T16:47:19.000Z,Epoch AI,2026-07-07 16:47:19+00:00
R300 at OpenAI Stargate Shackelford on 2028-11-11T00:00:00.000Z,OpenAI Stargate Shackelford,2028-11-11,R300,147368.0,Estimate,Estimate,Oracle #confident,OpenAI #confident,"Buildings 6-10 expected to use Rubin Ultra NVL576, based on expected availability by late 2028. Count = 5 buildings × IT power per building / (IT overhead × Rubin Ultra server power) × 144 chips per server.",Epoch AI,2026-07-07T21:34:51.000Z,Epoch AI,2026-07-07 21:34:51+00:00
B200 at Coreweave Helios on 2029-01-01T00:00:00.000Z,Coreweave Helios,2029-01-01,B200,252602.0,Estimate,Estimate,CoreWeave #confident,CoreWeave #confident,"All phases complete (4 buildings, 800 MW). Same model. [Applied Digital corporate update](https://investor.galaxy.com/news-releases/news-release-details/applied-digital-provides-corporate-update-1)",Epoch AI,2026-04-02T19:45:37.000Z,Epoch AI,2026-05-16 10:31:51+00:00
