Model,Manufacturer,Length (m),Width (m),Height (m),Area (m^2),"Cooling capacity (stated, kW)","Cooling capacity (central estimate, kW)",Source,Link,Spot check,Notes,Fan Diameter (m),Number of Fans,Fan estimate diameter (m),Type,Motor Horsepower
S15E-1212-12LN,BAC,5.56,3.66,5.46,20.35,"1,971",1971.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-8518-07O,BAC,5.51,2.59,3.81,14.28,"1,980",1980.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,30.0
XES15E-1218-10HN,BAC,4.9,5.49,4.88,26.9,"1,980",1980.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S3E-1020-07N,BAC,6.12,3.0,3.71,18.35,"2,006",2006.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,25.0
S15E-1212-10MN,BAC,4.75,3.66,4.65,17.37,"2,015",2015.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1218-07KN,BAC,3.61,5.49,3.61,19.79,"2,046",2046.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
XES15E-1218-11HN,BAC,5.31,5.49,5.28,29.13,"2,063",2063.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S3E-1222-06N,BAC,6.58,3.61,3.33,23.73,"2,068",2068.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S15E-1285-07MN-2,BAC,3.45,5.23,3.38,18.07,"2,072",2072.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1212-11MN,BAC,5.16,3.66,5.05,18.86,"2,098",2098.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-1020-07O,BAC,6.12,3.0,3.71,18.35,"2,125",2125.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,30.0
S3E-8518-07P,BAC,5.51,2.59,3.81,14.28,"2,125",2125.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,40.0
XES15E-1218-12HN,BAC,5.72,5.49,5.69,31.35,"2,134",2134.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
XES3E-1222-07M,BAC,6.58,3.61,3.73,23.73,"2,138",2138.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S15E-1218-09JN,BAC,4.5,5.49,4.47,24.67,"2,151",2151.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
XES3E-1222-10K,BAC,6.58,3.61,5.0,23.73,"2,155",2155.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,10.0
S15E-1212-12MN,BAC,5.56,3.66,5.46,20.35,"2,173",2173.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-1424-07L,BAC,7.34,4.27,3.76,31.32,"2,182",2182.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,15.0
S3E-1222-06O,BAC,6.58,3.61,3.33,23.73,"2,195",2195.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S15E-1218-07LC,BAC,3.61,5.49,3.61,19.79,"2,199",2199.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
S15E-1285-09LN-2,BAC,4.37,5.23,4.37,22.86,"2,221",2221.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.1514999999999995,,
XES15E-1218-10JN,BAC,4.9,5.49,4.88,26.9,"2,256",2256.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S3E-1222-07N,BAC,6.58,3.61,3.73,23.73,"2,296",2296.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S15E-1285-10LN-2,BAC,4.78,5.23,4.78,24.99,"2,318",2318.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.541,,
XES3E-1222-12K,BAC,6.58,3.61,5.82,23.73,"2,318",2318.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,10.0
S3E-1020-07P,BAC,6.12,3.0,3.71,18.35,"2,327",2327.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,40.0
S15E-1218-09KN,BAC,4.5,5.49,4.47,24.67,"2,349",2349.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
XES15E-1218-11JN,BAC,5.31,5.49,5.28,29.13,"2,353",2353.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
XES3E-1424-07M,BAC,7.34,4.27,3.76,31.32,"2,393",2393.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
XES3E-1222-13K,BAC,6.58,3.61,6.22,23.73,"2,393",2393.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,10.0
S15E-1285-09MN-2,BAC,4.37,5.23,4.37,22.86,"2,423",2423.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.1514999999999995,,
S3E-1222-07O,BAC,6.58,3.61,3.73,23.73,"2,432",2432.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
XES15E-1218-12JN,BAC,5.72,5.49,5.69,31.35,"2,436",2436.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
XES3E-1222-10L,BAC,6.58,3.61,5.0,23.73,"2,454",2454.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S15E-1218-10KN,BAC,4.9,5.49,4.88,26.9,"2,463",2463.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S15E-1212-07JN-2,BAC,3.45,7.37,3.38,25.45,"2,476",2476.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1218-09LC,BAC,4.5,5.49,4.47,24.67,"2,511",2511.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
S15E-1285-10MN-2,BAC,4.78,5.23,4.78,24.99,"2,537",2537.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.541,,
S15E-1218-11KN,BAC,5.31,5.49,5.28,29.13,"2,564",2564.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
XES3E-1424-07N,BAC,7.34,4.27,3.76,31.32,"2,568",2568.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-8518-05L-2,BAC,5.51,5.26,3.0,28.98,"2,568",2568.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,30.0
XES3E-1222-12L,BAC,6.58,3.61,5.82,23.73,"2,634",2634.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S15E-1218-10LC,BAC,4.9,5.49,4.88,26.9,"2,634",2634.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S15E-1218-12KN,BAC,5.72,5.49,5.69,31.35,"2,656",2656.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S15E-1218-09LN,BAC,4.5,5.49,4.47,24.67,"2,660",2660.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
S3E-1222-07P,BAC,6.58,3.61,3.73,23.73,"2,665",2665.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
XES3E-1222-10M,BAC,6.58,3.61,5.0,23.73,"2,682",2682.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S15E-1212-07KN-2,BAC,3.45,7.37,3.38,25.45,"2,713",2713.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1285-10NN-2,BAC,4.78,5.23,4.78,24.99,"2,722",2722.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.541,,
XES3E-1222-13L,BAC,6.58,3.61,6.22,23.73,"2,722",2722.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S3E-1424-07O,BAC,7.34,4.27,3.76,31.32,"2,726",2726.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,30.0
S15E-1218-11LC,BAC,5.31,5.49,5.28,29.13,"2,744",2744.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S15E-1218-10LN,BAC,4.9,5.49,4.88,26.9,"2,761",2761.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S3E-8518-05M-2,BAC,5.51,5.26,3.0,28.98,"2,823",2823.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,40.0
XES3E-1222-14L,BAC,6.58,3.61,6.63,23.73,"2,832",2832.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S15E-1218-12LC,BAC,5.72,5.49,5.69,31.35,"2,840",2840.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S3E-1222-07Q,BAC,6.58,3.61,3.73,23.73,"2,862",2862.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
XES3E-1222-10N,BAC,6.58,3.61,5.0,23.73,"2,875",2875.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S15E-1218-11LN,BAC,5.31,5.49,5.28,29.13,"2,875",2875.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S15E-1212-09JN-2,BAC,4.34,7.37,4.24,31.99,"2,880",2880.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
XES3E-1222-12M,BAC,6.58,3.61,5.82,23.73,"2,884",2884.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S3E-8518-06L-2,BAC,5.51,5.26,3.4,28.98,"2,889",2889.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,30.0
S15E-1212-07LC-2,BAC,3.45,7.37,3.38,25.45,"2,915",2915.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1218-12LN,BAC,5.72,5.49,5.69,31.35,"2,976",2976.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
XES3E-1222-13M,BAC,6.58,3.61,6.22,23.73,"2,976",2976.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S3E-1424-07P,BAC,7.34,4.27,3.76,31.32,"2,985",2985.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,40.0
S3E-1222-07R,BAC,6.58,3.61,3.89,23.73,"3,029",3029.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,60.0
XES3E-1424-12L,BAC,7.34,4.27,5.87,31.32,"3,033",3033.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,15.0
XES3E-1222-10O,BAC,6.58,3.61,5.0,23.73,"3,042",3042.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S15E-1218-10MN,BAC,4.9,5.49,4.88,26.9,"3,047",3047.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
XES3E-1222-12N,BAC,6.58,3.61,5.82,23.73,"3,086",3086.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
XES3E-1222-14M,BAC,6.58,3.61,6.63,23.73,"3,099",3099.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S15E-1212-09KN-2,BAC,4.34,7.37,4.24,31.99,"3,143",3143.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
XES3E-1424-13L,BAC,7.34,4.27,6.27,31.32,"3,148",3148.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,15.0
S15E-1218-11MN,BAC,5.31,5.49,5.28,29.13,"3,170",3170.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S3E-8518-06M-2,BAC,5.51,5.26,3.4,28.98,"3,174",3174.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,40.0
XES3E-1222-13N,BAC,6.58,3.61,6.22,23.73,"3,192",3192.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S3E-1424-07Q,BAC,7.34,4.27,3.76,31.32,"3,200",3200.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,50.0
XES3E-1222-12O,BAC,6.58,3.61,5.82,23.73,"3,266",3266.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S15E-1218-12MN,BAC,5.72,5.49,5.69,31.35,"3,279",3279.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S15E-1212-10KN-2,BAC,4.75,7.37,4.65,34.99,"3,301",3301.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
XES3E-1424-12M,BAC,7.34,4.27,5.87,31.32,"3,314",3314.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
XES3E-1222-14N,BAC,6.58,3.61,6.63,23.73,"3,319",3319.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S3E-1222-10P,BAC,6.58,3.61,5.0,23.73,"3,323",3323.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S15E-1212-09LC-2,BAC,4.34,7.37,4.24,31.99,"3,363",3363.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
S3E-1020-06M-2,BAC,6.12,6.05,3.3,37.01,"3,367",3367.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,40.0
XES3E-1222-13O,BAC,6.58,3.61,6.22,23.73,"3,376",3376.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S3E-1424-07R,BAC,7.34,4.27,3.76,31.32,"3,389",3389.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,60.0
S15E-1212-11KN-2,BAC,5.16,7.37,5.05,37.98,"3,398",3398.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.902,,
S3E-8518-06N-2,BAC,5.51,5.26,3.4,28.98,"3,407",3407.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,50.0
XES3E-1424-13M,BAC,7.34,4.27,6.27,31.32,"3,437",3437.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
XES3E-1222-14O,BAC,6.58,3.61,6.63,23.73,"3,508",3508.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S3E-8518-07M-2,BAC,5.51,5.26,3.81,28.98,"3,512",3512.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,40.0
S15E-1212-09LN-2,BAC,4.34,7.37,4.24,31.99,"3,521",3521.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
S15E-1212-12KN-2,BAC,5.56,7.37,5.46,40.97,"3,521",3521.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.281999999999999,,
S15E-1212-10LC-2,BAC,4.75,7.37,4.65,34.99,"3,530",3530.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
XES3E-1424-12N,BAC,7.34,4.27,5.87,31.32,"3,547",3547.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-1222-10Q,BAC,6.58,3.61,5.0,23.73,"3,556",3556.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
S3E-1222-12P,BAC,6.58,3.61,5.82,23.73,"3,565",3565.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S3E-8518-06O-2,BAC,5.51,5.26,3.4,28.98,"3,569",3569.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,60.0
XES3E-1424-14M,BAC,7.34,4.27,6.68,31.32,"3,587",3587.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
S3E-1020-06N-2,BAC,6.12,6.05,3.3,37.01,"3,613",3613.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,50.0
S15E-1212-11LC-2,BAC,5.16,7.37,5.05,37.98,"3,635",3635.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.902,,
XES3E-1424-13N,BAC,7.34,4.27,6.27,31.32,"3,679",3679.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-1222-13P,BAC,6.58,3.61,6.22,23.73,"3,683",3683.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S15E-1212-10LN-2,BAC,4.75,7.37,4.65,34.99,"3,696",3696.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
S3E-1020-07M-2,BAC,6.12,6.05,3.71,37.01,"3,736",3736.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,40.0
